ACE FREHLEY,NEW YORK GROOVE - ,MAD,HRD 1
ACE OF BASE,ALL THAT SHE WANTS,MAD,EXST 1
ACE OF BASE,ALL THAT SHE WANTS,MAD,MPR
ACE OF BASE,ALL THAT SHE WANTS,MAD,PK21
ACE OF BASE,ALL THAT SHE WANTS,MEL,1000072
ADAM AND THE ANTS,KINGS OF THE WILD FRONTIER - ,MAD,EXST 2
ADAM LAMBERT,WHATAYA WANT FROM ME,MAD,PK23
AEROSMITH,BACK IN THE SADDLE,MAD,HRD 1
AEROSMITH,BIG TEN INCH RECORD,MAD,HRD 1
AEROSMITH,CRAZY,MAD,MPR
AEROSMITH,CRAZY,MEL,1001013
AEROSMITH,CRYIN,MEL,1006605
AEROSMITH,CRYIN',MAD,HRD 1
AEROSMITH,CRYIN',MAD,PK11
AEROSMITH,DREAM ON,MAD,HRD 1
AEROSMITH,DREAM ON,MAD,MPR
AEROSMITH,DREAM ON,MEL,1001014
AEROSMITH,FALLING IN LOVE,MAD,MPR
AEROSMITH,FALLING IN LOVE,MEL,1001012
AEROSMITH,I DON'T WANT TO MISS A THING,MAD,EXST 1
AEROSMITH,I DON'T WANT TO MISS A THING,MAD,HRD 1
AEROSMITH,JADED,MAD,BST15
AEROSMITH,LAST CHILD,MAD,HRD 1
AEROSMITH,LOVE IN AN ELEVATOR,MAD,HRD 1
AEROSMITH,SAME OLD SONG AND DANCE,MAD,HRD 1
AEROSMITH,SWEET EMOTION,MAD,HRD 1
AEROSMITH,SWEET EMOTION,MAD,PK11
AEROSMITH,TRAIN KEPT A ROLLIN',MAD,HRD 1
AEROSMITH,WALK THIS WAY,MAD,EXST 3
AEROSMITH,WALK THIS WAY,MAD,PK04
AEROSMITH AND RUN DMC,WALK THIS WAY,MAD,HRD 1
AFRODITE,NEVER LET IT GO,MAD,FF
AFRODITE,NEVER LET IT GO,MAD,SWE
AGENTS,ALLA SATEEN ÖISEN,MEL,3403231
AGENTS,ANTAUDUN,MAD,FIN 43A 3
AGENTS,ANTAUDUN,MEL,1000504
AGENTS,ARON LEMPEÄ,MEL,1002785
AGENTS,EN ANTAA MUUTA VOI,MEL,1002428
AGENTS,HAAVEKUVA,MAD,PW
AGENTS,IDÄN JA LÄNNEN TIET,MEL,1002265
AGENTS,ILLAN VARJOON HIMMEÄÄN,MEL,1000459
AGENTS,KUIN YÖ,MEL,1002887
AGENTS,KUKAT KAUNIIT,MEL,1002788
AGENTS,MAAILMA ILMAN RAKKAUTTA,MAD,PWR04
AGENTS,MAAILMA ILMAN RAKKAUTTA,MEL,1002830
AGENTS,MOSKOVAN VALOT,MAD,FIAT
AGENTS,MUN SORMUKSEIN,MAD,PWR12
AGENTS,SINÄ VAIN,MAD,FIN 35A 3
AGENTS,SINÄ VAIN,MEL,1000706
AGENTS,TALVEN KYLMÄT KYYNELEET,MEL,1002891
AGENTS,TUULI JA ERÄMAA,MAD,FIN 52 06
AGENTS,VALOT,MEL,1000407
AGENTS,VOITKO ALKAA UUDELLEEN,MEL,1002888
AGENTS JA J KÄÄRINEN,UHKAPELURI,MEL,1003435
AGENTS JA J KÄÄRÄINEN,UUTEEN KESÄÄN NIIN PALJON ON AIKAA,MEL,1003421
AHA,TAKE ON ME,MEL,1000070
A-HA ,TAKE ON ME,MAD,MPR
AHMET KAYA ,GIDERIM,MAD,TURKKI
AHTI AKE KARJALAINEN ,LAULA AKE PARANOID,MAD,POY
AHTI JA BEHM,TÄHDET,MAD,KUNINGAS
AHTI LAMPI,ELÄMÄN VALTTIKORTIT,MAD,FIN 02B 3
AHTI LAMPI,ELÄMÄN VALTTIKORTIT,MAD,FIN 42A15
AHTI LAMPI,ELÄMÄN VALTTIKORTIT,MEL,1000186
AI MUSIC,SINUN RINNALLA (YSTÄVÄNPÄIVÄ LAULU),MAD,FIAT
AIKAKONE,ALLA VAAHTERAPUUN,MAD,LK
AIKAKONE,ALLA VAAHTERAPUUN,MEL,1001479
AIKAKONE,ALLA VAAHTERAPUUN,MEL,1002446
AIKAKONE,KELTAINEN,MAD,PWD-09
AIKAKONE,NEITI GROOVE,MAD,PWD-09
AIKAKONE,ODOTA,MAD,LK
AIKAKONE,ODOTA,MEL,1001489
AIKAKONE,TÄHTIKAAREN TAA,MAD,LK
AIKAKONE,TÄHTIKAAREN TAA,MEL,1001480
AIKAKONE,UUDET TUULET,MEL,1002870
AIKAKONE,VUOSISADAN RAKKAUSTARINA,MAD,FIAT
AIKAMIEHET,ILTATUULEN VIESTI,MAD,FIN 16B 3
AIKAMIEHET,ILTATUULEN VIESTI,MEL,1314449
AIKAPOLIISI,HALUUTKO SÄ PELATA MUN NINTENDOO,MAD,FIAT
AIKAPOLIISI,HERKKUKAUPPA (BAM TSIKI TSIKI),MAD,FIAT
AIKAPOLIISI,SINÄ OLET AURINKO,MAD,FIAT
AILA MATTILA,ANNA MUN SYDÄMENI OLLA,MAD,FIAT
AILA MATTILA,ASKELEET,MAD,FIAT
AILA MATTILA,JÄLJET JÄÄ,MAD,FIAT
AILA MATTILA,TAIVAS ITKEE NIIN TEEN MINÄKIN,MAD,FIAT
AILA MATTILA,TUNTEMATON TIE,MAD,FIAT
AIMO ANDERSSON,ARPISET HAAVAT,MEL,1000532
AIMO ANDERSSON,ELÄMÄÄ JUOKSUHAUDOISSA,MAD,FIN 22B10
AIMO ANDERSSON,ELÄMÄÄ JUOKSUHAUDOISSA,MEL,1000645
AIR SUPPLY,ALL OUT OF LOVE,MAD,EXST 3
AIR SUPPLY,ALL OUT OF LOVE,MAD,PIO 13A 9
AIR SUPPLY,ALL OUT OF LOVE,MEL,1006711
AIR SUPPLY,LOST IN LOVE,MAD,PIO-018
AKI HIETALA,JOS LUOJA SUO,MAD,FIN 31A 4
AKI HIETALA,JOS LUOJA SUO,MEL,1000309
AKI HIETALA,OOT KALLEIN,MAD,FIN 40B 8
AKI HIETALA,VOIN ALKAA KAIKEN UUDELLEEN,MAD,MG04
AKI SAMULI,EI KUKAAN KETÄÄN,MAD,MPR
AKI SAMULI,EI KUKAAN KETÄÄN,MEL,3403217
AKI SIRKESALO,ENKELEITÄ ONKO HEITÄ,MAD,PWD-10
AKI SIRKESALO,KISSANAINEN,MAD,POY
AKI SIRKESALO,MULLONIKÄVÄSUA,MAD,MPR
AKI SIRKESALO,MULLONIKÄVÄSUA,MEL,1314389
AKI SIRKESALO,NAISPAHOLAINEN,MAD,PW
AKI SIRKESALO,NAISPAHOLAINEN,MEL,1007462
AKI SIRKESALO,PAREMPAA AIKAA,MEL,1003752
AKI SIRKESALO,PUNATUKKAINEN,MAD,MPR
AKI SIRKESALO,PUNATUKKAINEN,MEL,1314412
AKI SIRKESALO,SANANSA MITTAINEN MIES,MAD,POY
AKI SIRKESALO,SEKSUAALISTA HÄIRINTÄÄ,MEL,1002314
AKI SIRKESALO JA LISA NILSSON,MYSTEERI,MEL,1003848
AKNESTIK,SUOMIROKKIA,MAD,PW
AKNESTIK,SUOMIROKKIA,MEL,1294880
AL GREEN,IM STILL IN LOVE WITH YOU,MEL,1006652
AL GREEN,LET'S STAY TOGETHER,MAD,PIO-018
AL JOLSON,AFTER YOUVE GONE,MEL,1006775
AL MARTINO,SPANISH EYES,MAD,EXST 1
ALABAMA,YOU'VE GOT THE TOUCH,MAD,PIO 1B - 10
ALADDIN,SE ON KUIN YÖ,MAD,KT
ALAN JACKSON,ITS ALRIGHT TO BE A REDNECK,MEL,1006621
ALANIS MORISSETTE,IRONIC,MAD,EXST 3
ALANIS MORISSETTE,YOU OUGHTA KNOW,MAD,HRD 1
ALANNAH MYLES,BLACK VELVET,MAD,EXST 1
ALEKSI OJALA,RAKASTAA JA TULLA RAKASTETUKSI,MEL,1001763
ALEXANDRA BURKE,HALLELUJAH,MAD,PK18
ALICE COOPE,BE MY LOVER,MAD,HRD 1
ALICE COOPE,BILLION DOLLAR BABIES,MAD,HRD 1
ALICE COOPE,ELECTED,MAD,HRD 1
ALICE COOPE,FEED MY FRANKENSTEIN,MAD,HRD 1
ALICE COOPE,HEY STOOPID,MAD,HRD 1
ALICE COOPE,I'M EIGHTEEN,MAD,HRD 1
ALICE COOPE,IT'S ME,MAD,HRD 1
ALICE COOPE,NO MORE MISTER NICE GUY,MAD,HRD 1
ALICE COOPE,ONLY WOMEN BLEED,MAD,HRD 1
ALICE COOPE,POISON,MAD,HRD 1
ALICE COOPE,POISON,MAD,MPR
ALICE COOPE,SCHOOL'S OUT,MAD,MPR
ALICE COOPE,UNDER MY WHEELS,MAD,HRD 1
ALICE COOPER,POISON,MEL,1001020
ALICE COOPER,SCHOOLS OUT,MEL,1001029
ALICE IN CHAINS,AGAIN,MAD,HRD 1
ALICE IN CHAINS,NO EXCUSES,MAD,HRD 1
ALICIA KEYS,FALLIN,MAD,EXST 1
ALICIA KEYS,FALLIN',MAD,PK03
ALICIA KEYS,IF I AINT GOT YOU,MAD,EXST 2
ALICIA KEYS,KARMA,MAD,EXST 2
ALL SAINTS,NEVER EVER,MAD,EXST 1
ALL SAINTS,PURE SHORES,MAD,EXST 2
ALLMAN BROTHERS BAND,RAMBLIN' MAN,MAD,PIO-005
ALMA COGAN,TENNESSEE WALTZ,MAD,TOPHIT-27
ALMA GOGAN (SUOMEKSI),TENNESSEE VALSSI,MAD,SS12
ALPHAVILLE,BIG IN JAPAN,MEL,1004106
ALWARI TUOHITORVI,ROKATAAN VAAN,MEL,1312232
ALWARI TUOHITORVI,SINUN LAULUSI,MAD,MEL53
ALWARI TUOHITORVI,SINUN LAULUSI,MEL,1003892
ALWARI TUOHITORVI,ÄLÄ ISKE TUIJAA,MEL,1312193
ALWARI TUOHITORVI,ÄLÄ ISKE TUIJAA ,MAD,PWD-09
ALWIN STARDUST,MY COO CA CHOO,MEL,1000015
ALWIN STARDUST,MY COO-CA-CHOO,MAD,MPR
AMANDA - POY,HETKI LYÖ,MAD,POY
AMEN CORNER,IF PARADISE IS HALF AS NICE,MAD,EXST 2
AMERICA,SANDMAN,MEL,1006695
AMERIE,ONE THING,MAD,EXST 2
AMI ASPELUND,APINAMIES,MAD,FIN 20A 5
AMI ASPELUND,APINAMIES,MEL,1000814
AMI ASPELUND,APINAMIES,MEL,1002854
AMI ASPELUND,FANTASIAA,MAD,PWR11
AMI ASPELUND,NUORUUTENI OHI ON,MEL,1003817
AMORPHIS,BLACK WINTER DAY,MAD,HEVI 1
AMORPHIS,BROTHER AND SISTER,MAD,POY
AMULET,SUOMEN CHICAGO,MAD,PWR30
AMY DIAMOND,WHATS IN IT FOR ME,MAD,EXST 2
AMY WINEHOUSE,BACK TO BLACK,MAD,EXT1
AMY WINEHOUSE,REHAB,MAD,PK18
AMY WINEHOUSE,WAKE UP ALONE,MAD,EXT1
ANASTACIA,HEAVY ON MY HEART,MAD,MPR
ANASTACIA,HEAVY ON MY HEART,MEL,1000034
ANASTACIA,LEFT OUTSIDE ALONE,MAD,MPR
